word,intonation
cod,cod
gg,GG
gib,gib
pc,PC
rekt,rekt
hp,HP
git,git
k,k
fps,FPS
mvp,MVP
pog,pog
plebs,plebs
rekt,rekt
sike,sike
ps4,PS four
welp,welp
xp,XP
kd,KD
dlc,DLC
elo,elo
bruv,bruv
bf,BF
ima,ima
csgo,CS go
adc,ADC
op,OP
pvp,PVP
pve,PVE
mofo,mofo
ezpz,EZPZ
smh,SMH
wot,wot
ima,i'ma
kdr,KDR
xbox360,xbox three-sixty
jk,JK
buff,buff
nerf,nerf
mmr,MMR
bffs,BFFS
psn,PSN
irl,IRL
bae,bae
afk,AFK
lol,lol
lolz,lolz
pbe,PBQ
faq,FAQ
nsfw,NSFW
dps,DPS
lmfalol, lol
